id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
95384,2020/4/4,委内瑞拉,153,0,39,3,0,,18,0,0,0,0,,
8134,2020/4/3,毛里塔尼亚,6,0,2,1,0,,,0,,,0,,
8135,2020/4/3,纳米比亚,14,0,3,0,0,,,0,,,0,,
8132,2020/4/1,法属留尼汪岛,47,0,0,0,0,,,0,,,0,,
8133,2020/4/4,波多黎各,316,0,0,12,0,,30,0,0,1,0,,
95732,2020/4/4,加纳,205,0,3,5,0,,1,0,0,0,0,,
8136,2020/4/4,赤道几内亚,16,0,1,0,0,,1,0,0,0,0,,
8130,2020/4/4,几内亚,73,0,2,0,0,,21,0,1,0,0,,
8131,2020/4/4,卢旺达,89,0,0,0,0,,5,0,0,0,0,,
80001,2020/3/31,格林纳达,9,0,1,0,0,,,0,,,0,,
8129,2020/4/1,斯威士兰,9,0,0,0,0,,,0,,,0,,
8145,2020/4/4,坦桑尼亚,20,0,3,1,0,,,,,,,,
8146,2020/4/2,贝宁,13,0,1,0,0,,,0,,,0,,
8143,2020/4/4,刚果（金）,148,0,3,16,0,,14,0,0,3,0,,
8144,2020/3/29,中非共和国,6,0,0,0,0,,,0,,,0,,
8147,2020/4/2,利比里亚,6,0,0,0,0,,,0,,,0,,
8148,2020/4/4,索马里,7,0,0,0,0,,2,0,0,0,0,,
95123456,2020/4/2,塞拉利昂,2,0,0,0,0,,,0,,,0,,
95XXXX,2020/4/1,乍得,7,0,0,0,0,,,0,,,0,,
8152,2020/4/4,赞比亚,39,0,2,1,0,,0,0,2,0,0,,
8151,2020/4/4,巴巴多斯,51,0,0,0,0,,17,0,0,0,0,,
95mali,2020/4/4,马里,39,0,0,3,0,,3,0,0,0,0,,
958888,2020/4/4,阿根廷,1353,0,266,42,0,,220,0,26,10,0,,
81113,2020/3/27,法属波利尼西亚,25,0,0,0,0,,,0,,,0,,
9584332,2020/4/4,巴林,688,0,399,4,0,,16,0,27,0,0,,
8168,2020/4/2,莫桑比克,10,0,0,0,0,,,0,,,0,,
95747,2020/4/4,喀麦隆,509,0,17,8,0,,203,0,7,0,0,,
8165,2020/4/4,乌干达,48,0,0,0,0,,3,0,0,0,0,,
8166,2020/4/3,厄立特里亚,22,0,0,0,0,,,0,,,0,,
95983,2020/4/3,刚果（布）,41,0,0,3,0,,,0,,,0,,
8162,2020/4/3,津巴布韦,9,0,0,1,0,,,0,,,0,,
956475,2020/4/4,丹麦,4268,0,1379,161,0,,511,0,92,22,0,,
81344,2020/3/27,阿鲁巴,19,0,0,0,0,,,0,,,0,,
95776,2020/4/4,斐济,7,0,0,0,0,,2,0,0,0,0,,
8172,2020/4/1,伯利兹,3,0,0,0,0,,,0,,,0,,
8173,2020/4/4,缅甸,20,0,0,1,0,,0,,0,0,,,
9568067,2020/4/4,塞浦路斯,396,0,4,11,0,,40,0,0,1,0,,
81134,2020/3/27,关岛,37,0,0,1,0,,,0,,,0,,
888779,2020/3/30,科索沃,94,0,1,1,0,,,0,,,0,,
95251456,2020/4/4,吉尔吉斯斯坦,144,0,9,1,0,,19,0,9,0,0,,
8197,2020/4/1,博茨瓦纳,4,0,0,1,0,,,0,,,0,,
95309,2020/4/4,尼日尔,120,0,0,5,0,,46,0,0,0,0,,
95305,2020/4/1,苏里南,9,0,0,0,0,,,0,,,0,,
95306,2020/3/31,佛得角,6,0,0,1,0,,,0,,,0,,
95786,2020/4/4,萨尔瓦多,56,0,0,3,0,,32,0,0,3,0,,
95303,2020/4/1,圭亚那,8,0,0,1,0,,,0,,,0,,
95787,2020/3/29,尼加拉瓜,4,0,0,1,0,,,0,,,0,,
95783,2020/3/30,冈比亚,4,0,0,1,0,,,0,,,0,,
9523416782,2020/3/22,东帝汶,1,0,0,0,0,,,0,,,0,,
950777,2020/4/4,巴基斯坦,2708,0,130,41,0,,250,0,4,4,0,,
9577890,2020/4/4,埃及,985,0,216,66,0,,120,0,15,8,0,,
9577665,2020/4/4,科威特,479,0,93,1,0,,62,0,11,1,0,,
95903,2020/4/4,斯洛伐克,471,0,8,1,0,,21,0,0,0,0,,
95904,2020/3/27,直布罗陀,3,0,0,0,0,,,0,,,0,,
959333,2020/4/4,摩纳哥,64,0,1,1,0,,4,0,0,0,0,,
9509765,2020/4/4,巴拉圭,96,0,12,3,0,,4,0,11,0,0,,
856671,2020/3/31,荷属安的列斯,7,0,0,1,0,,,0,,,0,,
95711,2020/4/1,多米尼克,12,0,0,0,0,,,0,,,0,,
